"","city","id","type","squareMeters","rooms","floorCount","buildYear","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"11496","Wrocław","d687f8ddc466cd6267b9e2d5828292c0","Kamienica",30.61,1,5,1960,7.28,22,0.192,1.114,0.18,0.087,0.296,0.32,0.198,"no","no","yes","no","no",390000,674079
"11497","Wrocław","9904cbee4edcc53f822a468ff7876535","Blok mieszkalny",49.85,3,8,1980,2.11,23,0.25,0.333,0.391,0.088,0.185,0.938,0.251,"no","no","yes","no","yes",750000,674079
"11498","Wrocław","20f8f17a345bfc1ae4df89e9251fdeaf","Blok mieszkalny",61,3,10,1980,5.57,16,0.182,2.602,0.809,0.13,0.815,0.834,0.07,"yes","yes","yes","no","yes",649000,674079
"11499","Wrocław","fe5e5897e9381dac9268c88b47e2d507","Kamienica",58.31,3,4,1930,2.45,9,0.374,1.026,0.513,0.169,0.068,0.482,0.358,"yes","yes","no","no","yes",589000,674079
"11500","Wrocław","b1cfa3784dc0c2bb83dbda4afe9b5459","Apartamentowiec",70.05,3,4,2022,6.98,14,0.171,1.425,0.263,0.162,0.252,0.579,0.278,"no","yes","yes","no","no",750000,674079
"11501","Wrocław","6f91eeba763dc9a2982df8694cee3833","Blok mieszkalny",60.02,3,17,2023,2.63,10,0.184,0.572,0.296,0.262,0.457,1.461,0.235,"no","yes","yes","no","no",955590,674079
"11502","Wrocław","124e9e2ca24b93217d333e188658e2e5","Blok mieszkalny",34,1,17,2023,2.63,10,0.184,0.572,0.296,0.262,0.457,1.461,0.235,"no","yes","yes","no","no",499800,674079
"11503","Wrocław","98f004495eaa4308737d4868c1c10bdc","Blok mieszkalny",68.91,3,3,2013,7.22,22,0.106,1.201,0.323,0.147,0.413,0.323,0.345,"yes","yes","no","yes","no",757000,674079
"11504","Wrocław","947dd22056bae1d57da3c15f4247445f","Blok mieszkalny",84,3,4,1982,3.98,7,0.357,1.339,0.612,0.484,0.284,0.802,0.307,"no","yes","no","no","yes",860000,674079
"11505","Wrocław","b765d6ad9baeb0546a9fbaf92b46a768","Apartamentowiec",37.82,2,9,2019,1.86,2,0.699,0.245,0.645,0.489,0.758,1.283,0.565,"yes","yes","yes","no","no",699000,674079
"11506","Wrocław","dfbd99a16d56cce3580bf269a35b81c9","Kamienica",81,4,4,1930,1.25,36,0.068,0.193,0.291,0.09,0.125,0.326,0.179,"yes","no","no","no","yes",930000,674079
"11507","Wrocław","7bd7d77b8ae2725b6e81fe3afe273ee5","Apartamentowiec",38.29,2,9,2019,1.86,2,0.699,0.245,0.645,0.489,0.758,1.283,0.565,"yes","yes","yes","no","no",740000,674079
"11508","Wrocław","7b8b43558b169dcc7042f3ed2028bf23","Apartamentowiec",55.05,2,9,2019,1.86,2,0.699,0.245,0.645,0.489,0.758,1.283,0.565,"yes","yes","yes","no","no",1050000,674079
"11509","Wrocław","0841a56aa06be84c897020234493de05","Blok mieszkalny",85,4,5,1992,1.58,13,0.063,0.948,0.522,0.245,0.499,0.55,0.304,"no","no","no","no","yes",699000,674079
"11510","Wrocław","40e30a635106c224158be29e8f0e3e03","Blok mieszkalny",39.8,2,4,2002,5.05,27,0.284,2.42,0.185,0.187,0.135,0.208,0.2,"no","yes","no","no","yes",480000,674079
"11511","Wrocław","5e7d1a4c58abea110b37f65949459a47","Apartamentowiec",56.3,2,2,2016,6.51,6,0.213,3.886,0.138,0.163,0.447,1.622,0.268,"yes","yes","yes","yes","yes",650000,674079
"11512","Wrocław","81066e53ed797a90551c7bc7bbbea762","Blok mieszkalny",39,2,4,1980,8.08,14,0.129,0.716,0.043,0.078,0.139,0.667,0.194,"yes","no","no","no","yes",385000,674079
"11513","Wrocław","396a7bd2d403ae72536280ff6ac35469","Apartamentowiec",64.25,3,8,2017,3.11,20,0.189,0.19,0.264,0.328,0.323,0.769,0.205,"yes","yes","yes","no","no",799000,674079
"11514","Wrocław","d7abf16b4b29ff6703430fcd82400e74","Kamienica",57.3,3,7,1900,1.09,39,0.118,0.109,0.236,0.127,0.148,0.246,0.109,"no","no","yes","no","yes",580000,674079
"11515","Wrocław","1415ef98af33a70ef6acf624a8381ba6","Apartamentowiec",62.9,3,6,2014,0.9,13,0.403,0.481,0.726,0.191,0.295,0.498,0.629,"yes","yes","no","no","no",975000,674079
"11516","Wrocław","743075b9c91e358a7c3543572b8c7556","Apartamentowiec",38.96,2,4,2023,3.14,9,0.076,1.686,0.457,0.233,0.095,1.059,0.353,"no","yes","yes","no","no",579000,674079
"11517","Wrocław","fcbccc6c296ea38caad1031c1f413cb2","Kamienica",67.65,2,4,1900,1.04,40,0.054,0.183,0.109,0.179,0.194,0.154,0.164,"no","no","no","no","yes",6e+05,674079
"11518","Wrocław","b33f41b4b80d2f5232ecb3615dc38468","Blok mieszkalny",82,4,2,2016,8.85,5,0.302,1.637,1.098,0.286,0.022,2.287,0.762,"no","yes","no","no","no",858000,674079
"11519","Wrocław","9473fa56c19b63819ee75fe2d601a74d","Blok mieszkalny",60,3,4,2005,5.4,18,0.478,0.83,0.997,0.27,0.096,2.309,0.14,"yes","yes","yes","no","no",659000,674079
"11520","Wrocław","0c279d08f1642e67b43138985eb55dc5","Kamienica",80.4,3,4,1925,2.25,24,0.185,1.569,0.173,0.168,0.388,1.334,0.066,"no","no","no","no","yes",769000,674079
"11521","Wrocław","7dab630caa36fbe448f90aef3bd2a481","Blok mieszkalny",50.18,2,2,2019,8.67,7,0.414,2.086,0.722,0.354,0.486,2.076,0.316,"no","yes","yes","no","no",599000,674079
"11522","Wrocław","8eb34327f63d19fa7536c588957916d2","Kamienica",67.4,2,5,1950,0.39,135,0.254,0.211,0.141,0.092,0.023,0.337,0.143,"no","no","no","no","yes",960000,674079
